code,name,type,definition,restriction_id,restriction
Driver Contributing Circumstances Code,DriverContributingCircumstancesCodeSimpleType,simple,A data type for actions by the driver that may have contributed to the crash.,215,Ran Red Light
Driver Contributing Circumstances Code,DriverContributingCircumstancesCodeSimpleType,simple,A data type for actions by the driver that may have contributed to the crash.,216,Ran Stop Sign
Driver Contributing Circumstances Code,DriverContributingCircumstancesCodeSimpleType,simple,A data type for actions by the driver that may have contributed to the crash.,217,Disregarded Other Traffic Sign
Driver Contributing Circumstances Code,DriverContributingCircumstancesCodeSimpleType,simple,A data type for actions by the driver that may have contributed to the crash.,218,Disregarded Other Road Markings
Driver Contributing Circumstances Code,DriverContributingCircumstancesCodeSimpleType,simple,A data type for actions by the driver that may have contributed to the crash.,219,Improper Turn
Driver Contributing Circumstances Code,DriverContributingCircumstancesCodeSimpleType,simple,A data type for actions by the driver that may have contributed to the crash.,220,Improper Backing
Driver Contributing Circumstances Code,DriverContributingCircumstancesCodeSimpleType,simple,A data type for actions by the driver that may have contributed to the crash.,221,Improper Passing
Driver Contributing Circumstances Code,DriverContributingCircumstancesCodeSimpleType,simple,A data type for actions by the driver that may have contributed to the crash.,222,Other Contributing Action
Driver Contributing Circumstances Code,DriverContributingCircumstancesCodeSimpleType,simple,A data type for actions by the driver that may have contributed to the crash.,223,Unknown
Driver Distraction Code,DriverDistractionCodeSimpleType,simple,A data type for distractions which may have influenced the driver performance.,224,Not Distracted
Driver Distraction Code,DriverDistractionCodeSimpleType,simple,A data type for distractions which may have influenced the driver performance.,225,Talking on Hand-Held Electronic Device
Driver Distraction Code,DriverDistractionCodeSimpleType,simple,A data type for distractions which may have influenced the driver performance.,226,Outside the Vehicle (includes unspecified external distractions)
Driver Distraction Code,DriverDistractionCodeSimpleType,simple,A data type for distractions which may have influenced the driver performance.,227,"Other Inside the Vehicle (eating, personal hygiene, etc.)"
Driver Distraction Code,DriverDistractionCodeSimpleType,simple,A data type for distractions which may have influenced the driver performance.,228,Passenger
Driver Distraction Code,DriverDistractionCodeSimpleType,simple,A data type for distractions which may have influenced the driver performance.,229,Talking on Hands-Free Electronic Device
Driver Distraction Code,DriverDistractionCodeSimpleType,simple,A data type for distractions which may have influenced the driver performance.,230,"Manually Operating an Electronic Communication Device (texting, typing, dialing)"
Driver Distraction Code,DriverDistractionCodeSimpleType,simple,A data type for distractions which may have influenced the driver performance.,231,"Other Activity, Electronic Device"
Driver Distraction Code,DriverDistractionCodeSimpleType,simple,A data type for distractions which may have influenced the driver performance.,232,Unknown if Distracted
Driver License Category Code,DriverLicenseCategoryCodeSimpleType,simple,A data type for a current kind of an individuals driver license at the time of the crash.,233,Non-CDL Drivers License
Driver License Category Code,DriverLicenseCategoryCodeSimpleType,simple,A data type for a current kind of an individuals driver license at the time of the crash.,234,Commercial Driver License (CDL)
Driver License Category Code,DriverLicenseCategoryCodeSimpleType,simple,A data type for a current kind of an individuals driver license at the time of the crash.,235,"Non-CDL Restricted Drivers License (Learners permit, Temporary/Limited, Graduated Drivers License, etc.)"
Driver License Class Code,DriverLicenseClassCodeSimpleType,simple,A data type for a kind of License assigned by authorizing agent issuing a driver license to the individual.,236,None
Driver License Class Code,DriverLicenseClassCodeSimpleType,simple,A data type for a kind of License assigned by authorizing agent issuing a driver license to the individual.,237,Not Applicable
Driver License Class Code,DriverLicenseClassCodeSimpleType,simple,A data type for a kind of License assigned by authorizing agent issuing a driver license to the individual.,238,None/Not Applicable
Driver License Class Code,DriverLicenseClassCodeSimpleType,simple,A data type for a kind of License assigned by authorizing agent issuing a driver license to the individual.,239,"Any regular or standard driver's license issued for the operation of  automobiles and light trucks by States that separate these vehicles from Class ""C"". Other class designation codes such as ""D"", ""R"" and others  may be used by States to indicate a regular driver's license class."
Driver License Jurisdiction Other Code,DriverLicenseJurisdictionOtherCodeSimpleType,simple,"A data type for the geographic or political entity issuing a driver license other than US, Canadian Province, Mexican State.",240,Not Licensed
Driver License Jurisdiction Other Code,DriverLicenseJurisdictionOtherCodeSimpleType,simple,"A data type for the geographic or political entity issuing a driver license other than US, Canadian Province, Mexican State.",241,Indian Nation
Driver License Jurisdiction Other Code,DriverLicenseJurisdictionOtherCodeSimpleType,simple,"A data type for the geographic or political entity issuing a driver license other than US, Canadian Province, Mexican State.",242,U.S. Government
Driver License Jurisdiction Other Code,DriverLicenseJurisdictionOtherCodeSimpleType,simple,"A data type for the geographic or political entity issuing a driver license other than US, Canadian Province, Mexican State.",243,"International License (other than Mexico, Canada)"
Driver License Jurisdiction Other Code,DriverLicenseJurisdictionOtherCodeSimpleType,simple,"A data type for the geographic or political entity issuing a driver license other than US, Canadian Province, Mexican State.",244,Not Applicable
Driver License Jurisdiction Other Code,DriverLicenseJurisdictionOtherCodeSimpleType,simple,"A data type for the geographic or political entity issuing a driver license other than US, Canadian Province, Mexican State.",245,Unknown
Driver License Permit Status Code,DriverLicensePermitStatusCodeSimpleType,simple,A data type for a current status of an individuals driver license at the time of the crash.,246,Not Licensed
Driver License Permit Status Code,DriverLicensePermitStatusCodeSimpleType,simple,A data type for a current status of an individuals driver license at the time of the crash.,247,Suspended
Driver License Permit Status Code,DriverLicensePermitStatusCodeSimpleType,simple,A data type for a current status of an individuals driver license at the time of the crash.,248,Revoked
Driver License Permit Status Code,DriverLicensePermitStatusCodeSimpleType,simple,A data type for a current status of an individuals driver license at the time of the crash.,249,Expired
Driver License Permit Status Code,DriverLicensePermitStatusCodeSimpleType,simple,A data type for a current status of an individuals driver license at the time of the crash.,250,Canceled or Denied
Driver License Permit Status Code,DriverLicensePermitStatusCodeSimpleType,simple,A data type for a current status of an individuals driver license at the time of the crash.,251,Disqualified (CDL)
Driver License Permit Status Code,DriverLicensePermitStatusCodeSimpleType,simple,A data type for a current status of an individuals driver license at the time of the crash.,252,Valid License
Driver License Permit Status Code,DriverLicensePermitStatusCodeSimpleType,simple,A data type for a current status of an individuals driver license at the time of the crash.,253,Unknown
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",254,None
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",255,Manslaughter or homicide
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",256,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",257,Driving while impaired
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",258,Driving under influence of substance not intended to intoxicate
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",259,Drinking while operating
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",260,Illegal possession of alcohol or drugs
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",261,Driving with detectable alcohol
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",262,Refusal to submit to chemical test
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",263,"Alcohol, drug, or impairment violations generally"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",264,Willful reckless driving; driving to endanger; negligent driving
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",265,Racing
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",266,Speeding (above the speed limit)
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",267,Speed greater than reasonable and prudent (not necessarily over the limit)
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",268,"Exceeding special speed limit (e.g. for trucks, buses, cycles, or on bridge, in school zone, etc.)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",269,"Energy speed (exceeding 55 mph, non-pointable)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",270,Driving too slowly
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",271,"Speed related violations, generally"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",272,"Unsafe reckless (not willful, wanton reckless) driving"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",273,Fail to stop for red signal
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",274,Fail to stop for flashing red
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",275,"Violation of turn on red (fail to stop and yield, yield to pedestrians before turning)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",276,Fail to obey flashing signal (yellow or red)
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",277,Fail to obey signal generally
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",278,Violate RR grade crossing device/regulations
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",279,Fail to obey stop sign
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",280,Fail to obey yield sign
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",281,Fail to obey traffic control device
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",282,"Inattentive, careless, improper driving"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",283,"Turn in violation of traffic control (disobey signs, turn arrow or pavement markings; not a right on red violation)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",284,"Improper method and position of turn (too wide, wrong lane)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",285,Fail to signal for turn or stop
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",286,Fail to yield to emergency vehicle
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",287,Fail to yield generally
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",288,Enter intersection when space insufficient
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",289,"Turn, yield, signaling violations generally"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",290,Fleeing or eluding police
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",291,Driving wrong way on one-way road
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",292,"Driving on left, wrong side of road, generally"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",293,"Improper, unsafe passing"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",294,Pass on right (drive off pavement to pass)
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",295,Pass stopped school bus
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",296,Fail to give way when overtaken
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",297,Following too closely
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",298,"Wrong side, passing, following violations, generally"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",299,"Fail to obey police, fireman, authorized person directing traffic"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",300,Unsafe or prohibited lane change
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",301,"Improper use of lane (enter of 3-lane road, HOV designated lane)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",302,"Certain traffic to use right lane (trucks, slow moving, etc.)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",303,"Motorcycle lane violations (more than two per lane, riding between lanes, etc.)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",304,Motorcyclist attached to another vehicle
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",305,"Lane violations, generally"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",306,"Hit-and-run, fail to stop after crash"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",307,Driving while license withdrawn
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",308,Other driver license violations
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",309,"Commercial driver violations (log book, hours, permits carried)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",310,Vehicle registration violations
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",311,Fail to carry insurance card
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",312,Driving uninsured vehicle
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",313,Non-moving violations generally
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",314,"Fail to give aid, info., wait for police after crash"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",315,Lamp violations
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",316,Brake violations
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",317,Failure to require restraint use (by self or passengers)
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",318,"Motorcycle equipment violations (helmet, special equipment)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",319,Violation of hazardous cargo regulations
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",320,"Size, weight, load violations"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",321,Equipment violations generally
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",322,Serious violation resulting in death
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",323,Parking
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",324,"Theft, unauthorized use of motor vehicle"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",325,"Driving where prohibited (sidewalk, limited access, off truck route)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",326,Not Reported
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",327,"Other moving violation (coasting, backing, opening door)"
Driver Violation Code,DriverViolationCodeSimpleType,simple,"A data type for all motor vehicle-related violations code category, if any, which apply to this driver.",328,Unknown Violation(s)
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,329,None
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,330,Corrective Lenses
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,331,Limited - Other
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,332,CDL Intrastate Only
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,333,Motor Vehicles without Air Brakes
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,334,Military Vehicles Only
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,335,Except Class A Bus
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,336,Except Class A and Class B Bus
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,337,Except Tractor-Trailer
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,338,Farm Waiver
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,339,"Mechanical Devices (special brakes, hand controls, or other adaptive devices)"
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,340,Prosthetic Aid
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,341,Automatic Transmission
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,342,Outside Mirror
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,343,Limit to Daylight Only
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,344,Limit to Employment
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,345,Learner's Permit Restrictions
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,346,Intermediate License Restrictions
Driving Restriction Code,DrivingRestrictionCodeSimpleType,simple,A data type for restrictions assigned to an individuals driver license by the license examiner.,347,Other
Drug Test Category Code,DrugTestCategoryCodeSimpleType,simple,A data type for a kind of Drug Test.,348,Blood
Drug Test Category Code,DrugTestCategoryCodeSimpleType,simple,A data type for a kind of Drug Test.,349,Urine
Drug Test Category Code,DrugTestCategoryCodeSimpleType,simple,A data type for a kind of Drug Test.,350,Other Test Type
Drug Test Result Code,DrugTestResultCodeSimpleType,simple,A data type for a Result of Drug Test.,351,Positive
Drug Test Result Code,DrugTestResultCodeSimpleType,simple,A data type for a Result of Drug Test.,352,Negative
Drug Test Result Code,DrugTestResultCodeSimpleType,simple,A data type for a Result of Drug Test.,353,Unknown
Drug Test Status Code,DrugTestStatusCodeSimpleType,simple,A data type for a Status of Drug Test.,354,Test Not Given
Drug Test Status Code,DrugTestStatusCodeSimpleType,simple,A data type for a Status of Drug Test.,355,Test Refused
Drug Test Status Code,DrugTestStatusCodeSimpleType,simple,A data type for a Status of Drug Test.,356,Test Given
Drug Test Status Code,DrugTestStatusCodeSimpleType,simple,A data type for a Status of Drug Test.,357,Unknown If Tested
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",358,Cargo/Equipment Loss or Shift (non-harmful)
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",359,"Equipment Failure (blown tire, brake failure, etc)"
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",360,Separation of Units
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",361,Ran Off Roadway - Right
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",362,Ran Off Roadway - Left
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",363,Cross Median
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",364,Downhill Runaway
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",365,Vehicle Went Airborne
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",366,Cross Centerline
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",367,Re-entering Roadway
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",368,"(Non-harmful, Swaying Trailer/Jackknife)"
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",369,End Departure
Event Sequence Code,EventSequenceCodeSimpleType,simple,"A data type for events in sequence related to this motor vehicle, including both non-collision as well as collision events.",370,Ran off Roadway - Direction Unknown
First Condition Crash Code,FirstConditionCrashCodeSimpleType,simple,A data type for any relevant condition of the individual (motorist or non-motorist) that is directly related to the crash.,371,None/Apparently Normal
First Condition Crash Code,FirstConditionCrashCodeSimpleType,simple,A data type for any relevant condition of the individual (motorist or non-motorist) that is directly related to the crash.,372,Unknown if Impaired
Haz Mat Cargo Release Code,HazMatCargoReleaseCodeSimpleType,simple,A data type for an indication that a motor vehicle had a hazardous materials placard as required by federal/state regulations.,373,Yes
Haz Mat Cargo Release Code,HazMatCargoReleaseCodeSimpleType,simple,A data type for an indication that a motor vehicle had a hazardous materials placard as required by federal/state regulations.,374,No
Haz Mat Cargo Release Code,HazMatCargoReleaseCodeSimpleType,simple,A data type for an indication that a motor vehicle had a hazardous materials placard as required by federal/state regulations.,375,Not Applicable
Information Source Code,InformationSourceCodeSimpleType,simple,A data type for an affiliation of the person completing the crash report such as Source of Information,376,Law Enforcement Agency
Information Source Code,InformationSourceCodeSimpleType,simple,A data type for an affiliation of the person completing the crash report such as Source of Information,377,Motorist
Injured Transportation Source Code,InjuredTransportationSourceCodeSimpleType,simple,A data type for a kind of transport to the medical facility receiving the patient.,378,Not Transported
Injured Transportation Source Code,InjuredTransportationSourceCodeSimpleType,simple,A data type for a kind of transport to the medical facility receiving the patient.,379,EMS Air
Injured Transportation Source Code,InjuredTransportationSourceCodeSimpleType,simple,A data type for a kind of transport to the medical facility receiving the patient.,380,Law Enforcement
Injured Transportation Source Code,InjuredTransportationSourceCodeSimpleType,simple,A data type for a kind of transport to the medical facility receiving the patient.,381,EMS Unknown Mode
Injured Transportation Source Code,InjuredTransportationSourceCodeSimpleType,simple,A data type for a kind of transport to the medical facility receiving the patient.,382,Transported Unknown Source
Injured Transportation Source Code,InjuredTransportationSourceCodeSimpleType,simple,A data type for a kind of transport to the medical facility receiving the patient.,383,EMS Ground
Injured Transportation Source Code,InjuredTransportationSourceCodeSimpleType,simple,A data type for a kind of transport to the medical facility receiving the patient.,384,Other
Injured Transportation Source Code,InjuredTransportationSourceCodeSimpleType,simple,A data type for a kind of transport to the medical facility receiving the patient.,385,Not Reported
Injured Transportation Source Code,InjuredTransportationSourceCodeSimpleType,simple,A data type for a kind of transport to the medical facility receiving the patient.,386,Unknown
Intersection Category Code,IntersectionCategoryCodeSimpleType,simple,A data type for an intersection consists of two or more roadways that intersect at the same level.,387,Not an Intersection
Intersection Category Code,IntersectionCategoryCodeSimpleType,simple,A data type for an intersection consists of two or more roadways that intersect at the same level.,388,L-Intersection
Intersection Category Code,IntersectionCategoryCodeSimpleType,simple,A data type for an intersection consists of two or more roadways that intersect at the same level.,389,Four-Way Intersection
Intersection Category Code,IntersectionCategoryCodeSimpleType,simple,A data type for an intersection consists of two or more roadways that intersect at the same level.,390,T-Intersection
Intersection Category Code,IntersectionCategoryCodeSimpleType,simple,A data type for an intersection consists of two or more roadways that intersect at the same level.,391,Y-Intersection
Intersection Category Code,IntersectionCategoryCodeSimpleType,simple,A data type for an intersection consists of two or more roadways that intersect at the same level.,392,Traffic Circle
Intersection Category Code,IntersectionCategoryCodeSimpleType,simple,A data type for an intersection consists of two or more roadways that intersect at the same level.,393,Roundabout
Intersection Category Code,IntersectionCategoryCodeSimpleType,simple,A data type for an intersection consists of two or more roadways that intersect at the same level.,394,"Five Point, or More"
Intersection Category Code,IntersectionCategoryCodeSimpleType,simple,A data type for an intersection consists of two or more roadways that intersect at the same level.,395,Not Reported
Intersection Category Code,IntersectionCategoryCodeSimpleType,simple,A data type for an intersection consists of two or more roadways that intersect at the same level.,396,Unknown
Maneuver Code,ManeuverCodeSimpleType,simple,A data type for a controlled maneuver for this motor vehicle prior to the beginning of the sequence of events.,397,Movements Essentially Straight Ahead
Maneuver Code,ManeuverCodeSimpleType,simple,A data type for a controlled maneuver for this motor vehicle prior to the beginning of the sequence of events.,398,Turning Right
Maneuver Code,ManeuverCodeSimpleType,simple,A data type for a controlled maneuver for this motor vehicle prior to the beginning of the sequence of events.,399,Turning Left
Maneuver Code,ManeuverCodeSimpleType,simple,A data type for a controlled maneuver for this motor vehicle prior to the beginning of the sequence of events.,400,Making a U-Turn
Maneuver Code,ManeuverCodeSimpleType,simple,A data type for a controlled maneuver for this motor vehicle prior to the beginning of the sequence of events.,401,Backing
Maneuver Code,ManeuverCodeSimpleType,simple,A data type for a controlled maneuver for this motor vehicle prior to the beginning of the sequence of events.,402,Negotiating a Curve
Maneuver Code,ManeuverCodeSimpleType,simple,A data type for a controlled maneuver for this motor vehicle prior to the beginning of the sequence of events.,403,Changing Lanes
Maneuver Code,ManeuverCodeSimpleType,simple,A data type for a controlled maneuver for this motor vehicle prior to the beginning of the sequence of events.,404,Decelerating in Road
Maneuver Code,ManeuverCodeSimpleType,simple,A data type for a controlled maneuver for this motor vehicle prior to the beginning of the sequence of events.,405,Stopped in Roadway
